ter;plot;label;ms;com;ind;sp;height;diameter;state;flower;;;;;
3;12;838;1;P;1;pistachia;21,5;3,9;;;;;;;
3;12;839;0;A;1;anthyllis;22,5;2,48;;1;;;;;
3;12;842;1;P;1;pistachia;12,4;2,41;;;;;;;
3;12;843;0;P;1;pistachia;15,5;2,91;;;;;;;
3;12;844;1;A;1;anthyllis;20,2;1,72;;;;;;;
3;12;845;0;A;1;anthyllis;24,6;1,79;2;;;;;;
3;12;846;1;A;1;anthyllis;;;3;;;;;;
3;12;847;0;D;1;dorycnium;21;1,66;;;;;;;
3;12;848;1;D;1;dorycnium;31,5;3,02;;;;;;;
3;12;849;0;D;1;dorycnium;35,6;2;;;;;;;
3;12;850;1;D;1;dorycnium;31,9;3,41;;;;;;;
3;12;851;1;M;1;pistachia;13,4;2,14;2;;;;;;
3;12;852;0;M;1;pistachia;15;2,14;;;;;;;
3;12;853;0;A;1;anthyllis;16,7;1,42;;;;;;;
3;12;854;0;A;1;anthyllis;20,5;2,88;;;;;;;
3;12;855;1;A;1;anthyllis;16;1,91;;;;;;;
3;12;856;0;D;1;dorycnium;35;3,53;;;;;;;
3;12;857;1;D;1;dorycnium;20,1;1,09;;;;;;;
3;12;858;0;M;1;anthyllis;15,6;1,94;;;;;;;
3;12;859;1;M;1;dorycnium;30,2;2,84;;;;;;;
3;12;860;1;A;1;anthyllis;26;2,58;;;;;;;
3;12;861;0;D;1;dorycnium;16,5;2,7;;;;;;;
3;12;862;1;D;1;dorycnium;16;1,96;2;;;;;;
